caseId,ACBarrett,AFortas,AMKennedy,AScalia,BMKavanaugh,BRWhite,CEWhittaker,CThomas,DHSouter,EKagan,EWarren,FFrankfurter,FMVinson,FMurphy,HABlackmun,HHBurton,HLBlack,JGRoberts,JHarlan2,JPStevens,KBJackson,LFPowell,NMGorsuch,PStewart,RBGinsburg,RHJackson,SAAlito,SDOConnor,SFReed,SGBreyer,SMinton,SSotomayor,TCClark,TMarshall,WBRutledge,WEBurger,WHRehnquist,WJBrennan,WODouglas
1947-031,,,,,,,,,,,,1.0,0.0,1.0,,0.0,0.0,,,,,,,,,1.0,,,0.0,,,,,,1.0,,,,1.0
1947-034,,,,,,,,,,,,0.0,1.0,1.0,,0.0,1.0,,,,,,,,,0.0,,,1.0,,,,,,1.0,,,,1.0
1949-114,,,,,,,,,,,,0.0,1.0,,,1.0,1.0,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,1.0
1951-038,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,0.0,,,1.0,,1.0,,0.0,,,,,,1.0
1954-017,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0
1956-053,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0
1957-010,,,,,,,1.0,,,,0.0,1.0,,,,1.0,0.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,0.0
1957-070,,,,,,,1.0,,,,0.0,1.0,,,,1.0,0.0,,1.0,,,,,,,,,,,,,,1.0,,,,,0.0,0.0
1957-088,,,,,,,0.0,,,,1.0,1.0,,,,0.0,1.0,,1.0,,,,,,,,,,,,,,0.0,,,,,1.0,1.0
1958-056,,,,,,,1.0,,,,0.0,1.0,,,,,0.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,0.0,0.0
1958-096,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,1.0,1.0
1967-113,,1.0,,,,0.0,,,,,1.0,,,,,,1.0,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,1.0,1.0
1969-031,,,,,,1.0,,,,,,,,,,,0.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,0.0
1969-128,,,,,,1.0,,,,,,,,,0.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,1.0
1970-081,,,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,0.0,,,,,,,,,,1.0,,0.0,,1.0,0.0
1976-007,,,,,,1.0,,,,,,,,,0.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,0.0,0.0,1.0,
1976-106,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,0.0,,1.0,1.0,0.0,
1976-110,,,,,,1.0,,,,,,,,,1.0,,,,,0.0,,1.0,,0.0,,,,,,,,,,0.0,,1.0,1.0,0.0,
1976-134,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,0.0,,1.0,1.0,1.0,
1978-088,,,,,,1.0,,,,,,,,,1.0,,,,,0.0,,0.0,,1.0,,,,,,,,,,1.0,,1.0,0.0,1.0,
1979-090,,,,,,1.0,,,,,,,,,1.0,,,,,0.0,,1.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,
1986-053,,,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,0.0,,,1.0,1.0,
1986-112,,,,1.0,,1.0,,,,,,,,,1.0,,,,,0.0,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,1.0,
1987-139,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,0.0,,,,,,,,1.0,,,,,,0.0,,,1.0,0.0,
2000-005,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2000-009,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2000-010,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2000-012,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,0.0,,,,,,,1.0,,
